epoch,phase,cycle_slip
53491,30172123.608092673,0
53492,30170925.19741667,0
53493,30169726.6260711,0
53494,30168527.896858722,0
53495,30167329.006382145,0
53496,30166129.955768805,0
53497,30164930.744310264,0
53498,30163731.372683194,0
53499,30162531.842100132,0
53500,30161332.15145235,0
53501,30160132.305756085,0
53502,30158932.296508405,0
53503,30157732.128220197,0
53504,30156531.799862728,0
53505,30155331.314698774,0
53506,30154130.669228345,0
53507,30152929.868671097,0
53508,30151728.905320913,0
53509,30150527.782153174,0
53510,30149326.505283248,0
53511,30148125.06462746,0
53512,30146923.469009973,0
53513,30145721.714030266,0
53514,30144519.800406855,0
53515,30143317.72892113,0
53516,30142115.499980308,0
53517,30140913.112484314,0
53518,30139710.56802448,0
53519,30138507.86536564,0
53520,30137305.004241705,0
53521,30136101.988041107,0
53522,30134898.81085885,0
53523,30133695.479521487,0
53524,30132491.98900389,0
53525,30131288.341560088,0
53526,30130084.538208563,0
53527,30128880.576950382,0
53528,30127676.460560765,0
53529,30126472.185361106,0
53530,30125267.755738553,0
53531,30124063.16578893,0
53532,30122858.420469012,0
53533,30121653.522637963,0
53534,30120448.467292197,0
53535,30119243.253230993,0
53536,30118037.88291593,0
53537,30116832.357992347,0
53538,30115626.680336013,0
53539,30114420.84146095,0
53540,30113214.848688055,0
53541,30112008.703185763,0
53542,30110802.398667425,0
53543,30109595.93823083,0
53544,30108389.328506023,0
53545,30107182.55799117,0
53546,30105975.63179466,0
53547,30104768.555614848,0
53548,30103561.31919434,0
53549,30102353.93036488,0
53550,30101146.38711681,0
53551,30099938.69188578,0
53552,30098730.839428756,0
53553,30097522.829869047,0
53554,30096314.670850072,0
53555,30095106.351375967,0
53556,30093897.88498383,0
53557,30092689.261826254,0
53558,30091480.4844436,0
53559,30090271.551669132,0
53560,30089062.467090588,0
53561,30087853.227114126,0
53562,30086643.835634813,0
53563,30085434.28979281,0
53564,30084224.590748787,0
53565,30083014.73988202,0
53566,30081804.73359979,0
53567,30080594.576673333,0
53568,30079384.26387855,0
53569,30078173.801624574,0
53570,30076963.1837127,0
53571,30075752.412797675,0
53572,30074541.490902036,0
53573,30073330.415271647,0
53574,30072119.189294454,0
53575,30070907.80891001,0
53576,30069696.27981406,0
53577,30068484.594661407,0
53578,30067272.759909276,0
53579,30066060.76994555,0
53580,30064848.632854693,0
53581,30063636.341964196,0
